Jogador;Time;id_time;Numeração;Nação;Posição;Idade;Gols;Assistências;CrtsA;CrtV;Contatos;Div;Crts;Bloqueios;xG;xAG;Cmp;Att;Cmp%;Conduções;Data
Éder;Criciúma;7;23;ITA;FW;37;0;0;0;0;20.0;1.0;0;0.0;0.0;0.0;12.0;16.0;75;17.0;13/04/2024
Yannick Bolasie;Criciúma;7;11;COD;FW;34;0;0;1;0;9.0;0.0;0;0.0;0.0;0.1;4.0;5.0;80;6.0;13/04/2024
Renato Kayser;Criciúma;7;79;BRA;FW;28;1;0;0;0;23.0;0.0;0;1.0;0.5;0.1;10.0;15.0;66,7;14.0;13/04/2024
Arthur;Criciúma;7;35;BRA;FW;31;0;0;0;0;6.0;0.0;0;0.0;0.0;0.0;5.0;6.0;83,3;2.0;13/04/2024
Marquinhos Gabriel;Criciúma;7;10;BRA;AM;33;0;0;1;0;40.0;0.0;1;2.0;0.0;0.3;22.0;24.0;91,7;24.0;13/04/2024
Matheusinho;Criciúma;7;17;BRA;AM;26;0;0;0;0;12.0;0.0;0;0.0;0.0;0.0;7.0;7.0;100;13.0;13/04/2024
Higor Meritão;Criciúma;7;5;BRA;LM;29;0;0;0;0;58.0;1.0;1;3.0;0.0;0.0;39.0;44.0;88,6;30.0;13/04/2024
Barreto;Criciúma;7;88;BRA;CM;28;0;0;0;0;46.0;2.0;0;3.0;0.0;0.0;32.0;36.0;88,9;25.0;13/04/2024
Fellipe Mateus;Criciúma;7;7;BRA;RM;33;0;0;1;0;35.0;0.0;0;2.0;0.1;0.0;19.0;27.0;70,4;24.0;13/04/2024
Miguel Trauco;Criciúma;7;14;PER;RM;31;0;0;1;0;11.0;1.0;0;1.0;0.0;0.0;4.0;8.0;50;6.0;13/04/2024
Marcelo Hermes;Criciúma;7;22;BRA;LB;29;0;1;0;0;60.0;1.0;2;1.0;0.1;0.1;31.0;49.0;63,3;31.0;13/04/2024
Walisson Maia;Criciúma;7;33;BRA;CB;32;0;0;0;0;46.0;1.0;1;0.0;0.0;0.0;34.0;41.0;82,9;30.0;13/04/2024
Rodrigo Fagundes;Criciúma;7;3;BRA;CB;37;0;0;0;0;78.0;1.0;2;0.0;0.0;0.0;60.0;72.0;83,3;52.0;13/04/2024
Claudinho;Criciúma;7;27;BRA;RB;23;0;0;0;0;75.0;3.0;4;2.0;0.0;0.0;50.0;58.0;86,2;44.0;13/04/2024
Yerson Candelo;Criciúma;7;19;COL;RB;32;0;0;0;0;19.0;2.0;0;0.0;0.0;0.0;12.0;16.0;75;11.0;13/04/2024
Alisson;Criciúma;7;25;BRA;GK;28;0;0;0;0;37.0;0.0;0;0.0;0.0;0.0;25.0;36.0;69,4;18.0;13/04/2024
Gilberto;Juventude;15;9;BRA;FW;34;0;0;0;0;5.0;0.0;0;0.0;0.1;0.0;2.0;3.0;66,7;0.0;13/04/2024
Erick;Juventude;15;7;BRA;FW;27;0;0;0;0;22.0;0.0;0;0.0;0.0;0.0;15.0;18.0;83,3;12.0;13/04/2024
Jean Carlos Vicente;Juventude;15;20;BRA;FW;32;1;0;1;0;49.0;2.0;1;1.0;0.1;0.1;24.0;39.0;61,5;29.0;13/04/2024
Nenê;Juventude;15;10;BRA;LM;42;0;0;0;0;39.0;0.0;1;1.0;0.1;0.1;19.0;30.0;63,3;19.0;13/04/2024
Marcelinho;Juventude;15;11;BRA;LM;21;0;0;0;0;14.0;0.0;0;0.0;0.1;0.0;7.0;9.0;77,8;10.0;13/04/2024
Caíque de Jesus Gonçalves;Juventude;15;95;BRA;CM;28;0;0;1;0;62.0;5.0;0;1.0;0.0;0.0;48.0;55.0;87,3;33.0;13/04/2024
Thiaguinho;Juventude;15;8;BRA;CM;27;0;0;0;0;11.0;1.0;0;0.0;0.0;0.0;6.0;9.0;66,7;4.0;13/04/2024
Jadson;Juventude;15;16;BRA;CM;30;0;1;0;0;65.0;2.0;2;2.0;0.0;0.2;47.0;54.0;87;30.0;13/04/2024
Lucas Barbosa;Juventude;15;21;BRA;RM;23;0;0;0;0;54.0;3.0;0;3.0;0.1;0.0;24.0;36.0;66,7;27.0;13/04/2024
Rildo;Juventude;15;37;BRA;RM;24;0;0;0;0;13.0;0.0;1;0.0;0.0;0.0;7.0;9.0;77,8;3.0;13/04/2024
Gabriel Inocêncio;Juventude;15;12;BRA;LB;29;0;0;0;0;73.0;1.0;0;0.0;0.0;0.0;55.0;64.0;85,9;36.0;13/04/2024
Zé Marcos;Juventude;15;3;BRA;CB;26;0;0;1;0;69.0;1.0;1;2.0;0.1;0.0;39.0;57.0;68,4;31.0;13/04/2024
Rodrigo Sam;Juventude;15;34;BRA;CB;28;0;0;1;0;53.0;2.0;0;2.0;0.0;0.0;42.0;46.0;91,3;24.0;13/04/2024
João Lucas;Juventude;15;2;BRA;RB;26;0;0;1;0;78.0;3.0;1;2.0;0.0;0.0;51.0;66.0;77,3;38.0;13/04/2024
Gabriel;Juventude;15;1;BRA;GK;31;0;0;1;0;22.0;0.0;0;0.0;0.0;0.0;18.0;20.0;90;9.0;13/04/2024
Lucca Holanda;Internacional;14;45;BRA;FW;21;0;0;0;0;12.0;1.0;0;0.0;0.0;0.2;7.0;9.0;77,8;6.0;13/04/2024
Wesley;Internacional;14;21;BRA;FW;25;1;0;0;0;33.0;2.0;0;1.0;0.1;0.4;18.0;26.0;69,2;21.0;13/04/2024
Rafael Borré;Internacional;14;19;COL;FW;28;0;0;0;0;33.0;2.0;0;1.0;1.1;0.0;13.0;19.0;68,4;15.0;13/04/2024
Wanderson;Internacional;14;11;BRA;LM;29;0;0;0;0;28.0;1.0;0;1.0;0.1;0.4;12.0;21.0;57,1;18.0;13/04/2024
Lucas Alario;Internacional;14;31;ARG;LM;31;0;0;1;0;6.0;0.0;0;0.0;0.0;0.0;2.0;3.0;66,7;2.0;13/04/2024
Bruno Gomes;Internacional;14;15;BRA;CM;23;0;0;0;0;46.0;4.0;1;0.0;0.0;0.0;33.0;41.0;80,5;29.0;13/04/2024
Bruno Henrique;Internacional;14;8;BRA;CM;34;0;1;0;0;33.0;1.0;0;2.0;0.0;0.1;23.0;23.0;100;22.0;13/04/2024
Thiago Maia;Internacional;14;29;BRA;CM;27;0;0;0;0;40.0;1.0;1;0.0;0.0;0.0;34.0;36.0;94,4;26.0;13/04/2024
Gabriel Mercado;Internacional;14;25;ARG;CB;37;0;0;1;0;34.0;1.0;2;0.0;0.0;0.0;28.0;31.0;90,3;26.0;13/04/2024
Mauricio;Internacional;14;27;BRA;RM;22;0;0;1;0;40.0;2.0;1;1.0;0.1;0.1;24.0;31.0;77,4;27.0;13/04/2024
Gustavo Prado;Internacional;14;47;BRA;RM;18;0;0;0;0;3.0;1.0;0;0.0;0.0;0.0;1.0;1.0;100;2.0;13/04/2024
Renê;Internacional;14;6;BRA;LB;31;0;0;0;0;62.0;2.0;1;1.0;0.3;0.0;43.0;53.0;81,1;34.0;13/04/2024
Fernando;Internacional;14;5;BRA;CM,CB;36;1;0;1;0;83.0;2.0;1;2.0;0.1;0.1;70.0;77.0;90,9;49.0;13/04/2024
Vitão;Internacional;14;44;BRA;CB;24;0;0;0;0;97.0;2.0;3;2.0;0.1;0.0;80.0;90.0;88,9;74.0;13/04/2024
Fabricio Bustos;Internacional;14;16;ARG;RB;27;0;0;1;0;89.0;3.0;1;0.0;0.0;0.1;62.0;79.0;78,5;54.0;13/04/2024
Sergio Rochet;Internacional;14;1;URU;GK;31;0;0;0;0;22.0;0.0;0;0.0;0.0;0.0;14.0;21.0;66,7;14.0;13/04/2024
Oscar Estupiñan;Bahia;4;29;COL;FW;27;0;0;0;0;12.0;0.0;0;0.0;0.0;0.0;5.0;9.0;55,6;5.0;13/04/2024
Cauly Oliveira Souza;Bahia;4;8;BRA;FW;28;0;0;0;0;25.0;0.0;0;0.0;0.0;0.0;17.0;20.0;85;14.0;13/04/2024
Thaciano;Bahia;4;16;BRA;FW;28;0;0;0;0;28.0;0.0;0;0.0;0.1;0.0;13.0;20.0;65;19.0;13/04/2024
Everaldo Stum;Bahia;4;9;BRA;FW;32;0;0;1;0;5.0;0.0;0;0.0;0.1;0.0;2.0;3.0;66,7;3.0;13/04/2024
Jean Lucas;Bahia;4;6;BRA;LM;25;0;1;1;0;47.0;0.0;1;0.0;0.2;0.1;25.0;32.0;78,1;30.0;13/04/2024
Caio Alexandre;Bahia;4;19;BRA;CM;25;0;0;0;0;49.0;0.0;0;1.0;0.0;0.0;42.0;46.0;91,3;23.0;13/04/2024
Biel;Bahia;4;11;BRA;CM;23;1;0;0;0;9.0;0.0;0;0.0;0.1;0.1;5.0;8.0;62,5;8.0;13/04/2024
Rezende;Bahia;4;5;BRA;CM;29;0;0;0;0;61.0;7.0;1;1.0;0.0;0.0;44.0;48.0;91,7;26.0;13/04/2024
Everton Ribeiro;Bahia;4;10;BRA;RM;35;0;0;0;0;55.0;0.0;2;1.0;0.0;0.0;44.0;48.0;91,7;38.0;13/04/2024
Carlos de Pena;Bahia;4;14;URU;RM;32;0;0;1;0;11.0;0.0;0;0.0;0.0;0.0;6.0;11.0;54,5;7.0;13/04/2024
Luciano Juba;Bahia;4;46;BRA;LB;24;0;0;0;0;83.0;0.0;4;0.0;0.0;0.0;57.0;68.0;83,8;30.0;13/04/2024
Víctor Cuesta;Bahia;4;15;ARG;CB;35;0;0;0;0;56.0;1.0;0;0.0;0.0;0.0;40.0;44.0;90,9;28.0;13/04/2024
Kanu;Bahia;4;4;BRA;CB;27;0;0;0;0;61.0;0.0;1;0.0;0.0;0.0;39.0;53.0;73,6;29.0;13/04/2024
Santiago Arias;Bahia;4;13;COL;RB;32;0;0;0;0;66.0;2.0;0;2.0;0.0;0.3;48.0;59.0;81,4;35.0;13/04/2024
Marcos Felipe;Bahia;4;22;BRA;GK;28;0;0;0;0;43.0;0.0;0;0.0;0.0;0.0;30.0;40.0;75;25.0;13/04/2024
Pablo;Athletico Paranaense;1;92;BRA;FW;31;1;0;0;0;46.0;0.0;0;0.0;0.4;0.0;35.0;38.0;92,1;27.0;14/04/2024
Gonzalo Mastriani;Athletico Paranaense;1;9;URU;FW;30;1;0;0;0;5.0;0.0;0;0.0;0.2;0.0;3.0;3.0;100;1.0;14/04/2024
Agustín Canobbio;Athletico Paranaense;1;14;URU;FW,LM;25;1;1;0;0;50.0;1.0;0;0.0;0.3;0.8;34.0;38.0;89,5;31.0;14/04/2024
José Vitor Silva Neves;Athletico Paranaense;1;30;BRA;LM;23;0;0;0;0;17.0;0.0;0;0.0;0.0;0.0;13.0;15.0;86,7;10.0;14/04/2024
Fernandinho;Athletico Paranaense;1;5;BRA;AM;38;0;1;0;0;112.0;0.0;3;1.0;0.1;0.2;86.0;104.0;82,7;70.0;14/04/2024
Tomás Cuello;Athletico Paranaense;1;28;ARG;LM;24;0;0;0;0;48.0;2.0;1;0.0;0.1;0.1;31.0;40.0;77,5;33.0;14/04/2024
Bruno Zapelli;Athletico Paranaense;1;10;ARG;RM;21;0;1;0;0;17.0;0.0;0;0.0;0.0;0.2;15.0;17.0;88,2;11.0;14/04/2024
Julimar;Athletico Paranaense;1;20;BRA;RM;23;0;1;0;0;29.0;1.0;2;0.0;0.7;0.2;17.0;21.0;81;20.0;14/04/2024
Alex Santana;Athletico Paranaense;1;80;BRA;FW;28;0;0;0;0;18.0;1.0;0;0.0;0.0;0.0;15.0;15.0;100;10.0;14/04/2024
Erick;Athletico Paranaense;1;26;BRA;DM;26;0;0;0;0;65.0;1.0;1;1.0;0.0;0.0;55.0;60.0;91,7;43.0;14/04/2024
Filipinho;Athletico Paranaense;1;23;BRA;DM;22;0;0;0;0;8.0;1.0;0;0.0;0.0;0.0;7.0;7.0;100;3.0;14/04/2024
Lucas Esquivel;Athletico Paranaense;1;37;ARG;LB;22;0;0;0;0;100.0;4.0;0;0.0;0.0;0.1;72.0;89.0;80,9;66.0;14/04/2024
Thiago Heleno;Athletico Paranaense;1;44;BRA;CB;35;0;0;0;0;63.0;0.0;1;1.0;0.0;0.0;56.0;60.0;93,3;37.0;14/04/2024
Kaique Rocha;Athletico Paranaense;1;4;BRA;CB;23;0;0;0;0;51.0;3.0;1;1.0;0.1;0.0;38.0;45.0;84,4;28.0;14/04/2024
Leonardo Godoy;Athletico Paranaense;1;29;ARG;RB;28;1;0;0;0;63.0;0.0;1;0.0;0.1;0.0;46.0;59.0;78;37.0;14/04/2024
Bento;Athletico Paranaense;1;1;BRA;GK;24;0;0;0;0;18.0;0.0;0;0.0;0.0;0.0;16.0;18.0;88,9;13.0;14/04/2024
Deyverson;Cuiabá;9;16;BRA;FW;32;0;0;0;0;25.0;1.0;0;0.0;0.0;0.0;10.0;14.0;71,4;10.0;14/04/2024
Isidro Pitta;Cuiabá;9;9;PAR;FW;24;0;0;0;0;4.0;0.0;0;0.0;0.0;0.0;2.0;2.0;100;2.0;14/04/2024
Clayson;Cuiabá;9;25;BRA;LM;29;0;0;0;0;21.0;1.0;0;0.0;0.0;0.0;16.0;19.0;84,2;16.0;14/04/2024
Jonathan Cafu;Cuiabá;9;7;BRA;RM,LM;32;0;0;0;0;10.0;0.0;0;1.0;0.0;0.0;3.0;8.0;37,5;5.0;14/04/2024
Lucas Mineiro;Cuiabá;9;30;BRA;CM;28;0;0;0;0;36.0;0.0;0;1.0;0.0;0.0;20.0;26.0;76,9;15.0;14/04/2024
Fernando Sobral;Cuiabá;9;88;BRA;CM;29;0;0;0;0;40.0;1.0;0;0.0;0.0;0.0;27.0;33.0;81,8;18.0;14/04/2024
Max;Cuiabá;9;10;BRA;CM;22;0;0;0;0;9.0;1.0;0;1.0;0.0;0.0;4.0;5.0;80;2.0;14/04/2024
Filipe Augusto;Cuiabá;9;5;BRA;CM;30;0;0;1;0;11.0;0.0;0;0.0;0.0;0.0;9.0;9.0;100;4.0;14/04/2024
Derik Lacerda;Cuiabá;9;22;BRA;RM;24;0;0;1;0;23.0;0.0;1;1.0;0.3;0.0;9.0;10.0;90;11.0;14/04/2024
André Luis;Cuiabá;9;97;BRA;LM,RM;26;0;0;0;0;7.0;0.0;0;0.0;0.0;0.0;3.0;4.0;75;5.0;14/04/2024
Rikelme;Cuiabá;9;20;BRA;LB;20;0;0;0;0;47.0;2.0;2;1.0;0.0;0.0;23.0;32.0;71,9;17.0;14/04/2024
Alan Empereur;Cuiabá;9;33;BRA;CB;30;0;0;1;0;82.0;0.0;2;2.0;0.0;0.0;57.0;71.0;80,3;49.0;14/04/2024
Allyson Aires dos Santos;Cuiabá;9;3;BRA;CB;33;0;0;0;0;48.0;0.0;2;0.0;0.0;0.0;35.0;37.0;94,6;20.0;14/04/2024
Marllon Borges;Cuiabá;9;4;BRA;CB;31;0;0;0;0;54.0;1.0;3;2.0;0.0;0.0;40.0;44.0;90,9;19.0;14/04/2024
Railan;Cuiabá;9;21;BRA;RB;24;0;0;0;0;40.0;2.0;1;0.0;0.0;0.0;27.0;29.0;93,1;14.0;14/04/2024
Walter;Cuiabá;9;1;BRA;GK;36;0;0;0;0;45.0;0.0;0;0.0;0.0;0.0;34.0;41.0;82,9;19.0;14/04/2024
Pablo Vegetti;Vasco da Gama;19;99;ARG;FW;35;0;0;0;0;40.0;0.0;0;1.0;0.3;0.0;14.0;25.0;56;26.0;14/04/2024
David;Vasco da Gama;19;7;BRA;LW;28;1;0;0;0;45.0;2.0;0;0.0;0.2;0.0;28.0;33.0;84,8;28.0;14/04/2024
Adson;Vasco da Gama;19;28;BRA;LW;23;0;0;0;0;11.0;0.0;0;0.0;0.0;0.0;9.0;9.0;100;8.0;14/04/2024
Rossi;Vasco da Gama;19;31;BRA;RW;30;0;1;1;0;33.0;0.0;0;2.0;0.0;0.3;20.0;29.0;69;19.0;14/04/2024
Rayan Vitor;Vasco da Gama;19;77;BRA;RW;17;0;0;0;0;15.0;1.0;0;0.0;0.3;0.0;6.0;6.0;100;8.0;14/04/2024
Mateus Cocão;Vasco da Gama;19;85;BRA;LM;22;1;0;0;0;68.0;1.0;0;2.0;0.1;0.0;48.0;58.0;82,8;48.0;14/04/2024
Juan Sforza;Vasco da Gama;19;20;ARG;CM;22;0;0;1;0;63.0;1.0;1;1.0;0.0;0.0;50.0;57.0;87,7;36.0;14/04/2024
Pablo Galdames Millán;Vasco da Gama;19;27;CHI;RM;27;0;0;0;0;31.0;2.0;0;1.0;0.0;0.0;23.0;25.0;92;19.0;14/04/2024
João Pedro;Vasco da Gama;19;98;BRA;RM;18;0;0;0;0;16.0;3.0;0;0.0;0.0;0.0;8.0;10.0;80;8.0;14/04/2024
Lucas Piton;Vasco da Gama;19;6;BRA;LB;23;0;0;0;0;68.0;2.0;2;1.0;0.0;0.0;49.0;59.0;83,1;34.0;14/04/2024
Léo Pelé;Vasco da Gama;19;3;BRA;CB;28;0;0;1;0;61.0;4.0;0;1.0;0.0;0.0;48.0;50.0;96;39.0;14/04/2024
Gary Medel;Vasco da Gama;19;17;CHI;CB;36;0;0;0;0;45.0;1.0;0;0.0;0.0;0.0;35.0;40.0;87,5;29.0;14/04/2024
João Victor;Vasco da Gama;19;38;BRA;CB,RB;25;0;0;1;0;22.0;2.0;1;1.0;0.0;0.2;11.0;16.0;68,8;11.0;14/04/2024
Paulo Henrique;Vasco da Gama;19;96;BRA;RB;27;0;0;0;0;60.0;4.0;2;2.0;0.0;0.0;32.0;42.0;76,2;25.0;14/04/2024
Robert Rojas;Vasco da Gama;19;32;PAR;CB;27;0;0;0;0;11.0;3.0;0;0.0;0.0;0.0;7.0;7.0;100;6.0;14/04/2024
Léo Jardim;Vasco da Gama;19;1;BRA;GK;29;0;0;0;0;25.0;0.0;0;0.0;0.0;0.0;22.0;24.0;91,7;18.0;14/04/2024
Diego Costa;Grêmio;13;19;ESP;FW;35;0;0;0;0;15.0;0.0;0;0.0;0.0;0.0;8.0;10.0;80;8.0;14/04/2024
Yeferson Soteldo;Grêmio;13;7;VEN;LW;26;0;0;0;0;21.0;2.0;0;0.0;0.0;0.0;9.0;14.0;64,3;15.0;14/04/2024
Gustavo Nunes;Grêmio;13;39;BRA;LW;18;0;0;0;0;20.0;1.0;0;1.0;0.0;0.0;8.0;12.0;66,7;13.0;14/04/2024
Cristian Pavón;Grêmio;13;21;ARG;RW;28;0;0;0;0;35.0;0.0;0;3.0;0.0;0.3;24.0;30.0;80;25.0;14/04/2024
Nathan Fernandes;Grêmio;13;32;BRA;RW;19;0;0;0;0;17.0;1.0;0;0.0;0.1;0.0;7.0;9.0;77,8;11.0;14/04/2024
Franco Cristaldo;Grêmio;13;10;ARG;AM;27;0;0;0;0;60.0;0.0;0;1.0;0.1;0.2;44.0;58.0;75,9;38.0;14/04/2024
Mathías Villasanti;Grêmio;13;20;PAR;DM;27;0;0;0;0;88.0;1.0;3;2.0;0.0;0.1;71.0;78.0;91;53.0;14/04/2024
Du Queiroz;Grêmio;13;37;BRA;DM;24;0;0;0;0;78.0;1.0;1;3.0;0.0;0.0;68.0;73.0;93,2;55.0;14/04/2024
Cuiabano;Grêmio;13;54;BRA;LB;21;0;0;0;0;55.0;2.0;2;3.0;0.0;0.0;33.0;46.0;71,7;25.0;14/04/2024
Zé Guilherme;Grêmio;13;46;BRA;LB;19;0;0;0;0;17.0;0.0;1;0.0;0.0;0.0;13.0;14.0;92,9;8.0;14/04/2024
Walter Kannemann;Grêmio;13;4;ARG;CB;33;0;0;0;0;4.0;0.0;0;0.0;0.0;0.0;3.0;4.0;75;3.0;14/04/2024
Gustavo Martins Santos;Grêmio;13;53;BRA;CB;21;1;0;0;0;86.0;1.0;0;0.0;0.7;0.0;72.0;76.0;94,7;54.0;14/04/2024
Rodrigo Ely;Grêmio;13;5;BRA;CB;30;0;0;0;0;69.0;2.0;0;4.0;0.0;0.0;51.0;57.0;89,5;35.0;14/04/2024
Agustín Marchesín;Grêmio;13;1;ARG;GK;36;0;0;0;0;26.0;0.0;0;0.0;0.0;0.0;22.0;25.0;88;11.0;14/04/2024
Yuri Alberto;Corinthians;6;9;BRA;FW;23;0;0;1;0;26.0;1.0;1;0.0;0.0;0.0;9.0;11.0;81,8;16.0;14/04/2024
Wesley;Corinthians;6;36;BRA;LW;19;0;0;0;0;37.0;1.0;1;2.0;0.0;0.0;14.0;18.0;77,8;25.0;14/04/2024
Ángel Romero;Corinthians;6;11;PAR;RW;31;0;0;1;0;24.0;0.0;0;0.0;0.2;0.0;11.0;19.0;57,9;15.0;14/04/2024
Pedro Raul;Corinthians;6;20;BRA;RW;27;0;0;0;0;5.0;0.0;0;0.0;0.0;0.0;2.0;4.0;50;0.0;14/04/2024
Rodrigo Garro;Corinthians;6;10;ARG;AM;26;0;0;0;0;53.0;0.0;2;0.0;0.1;0.0;30.0;43.0;69,8;21.0;14/04/2024
Igor Coronado;Corinthians;6;77;BRA;AM;31;0;0;0;0;15.0;0.0;0;0.0;0.0;0.2;9.0;14.0;64,3;9.0;14/04/2024
Fausto Vera;Corinthians;6;5;ARG;DM;24;0;0;0;0;41.0;1.0;1;0.0;0.0;0.0;32.0;36.0;88,9;22.0;14/04/2024
Maycon;Corinthians;6;7;BRA;DM;26;0;0;1;0;22.0;0.0;0;0.0;0.0;0.0;16.0;21.0;76,2;7.0;14/04/2024
Raniele;Corinthians;6;14;BRA;DM,CB;27;0;0;1;0;48.0;1.0;2;2.0;0.0;0.0;29.0;37.0;78,4;18.0;14/04/2024
Hugo;Corinthians;6;46;BRA;LB;26;0;0;1;0;54.0;2.0;1;0.0;0.0;0.0;34.0;44.0;77,3;9.0;14/04/2024
Gustavo Henrique;Corinthians;6;13;BRA;CB;31;0;0;0;0;32.0;1.0;2;2.0;0.0;0.0;20.0;23.0;87;9.0;14/04/2024
Paulinho;Corinthians;6;8;BRA;DM;35;0;0;0;0;12.0;0.0;0;0.0;0.0;0.0;7.0;10.0;70;2.0;14/04/2024
Félix Torres Caicedo;Corinthians;6;3;ECU;CB;27;0;0;0;0;50.0;1.0;3;2.0;0.0;0.0;39.0;42.0;92,9;14.0;14/04/2024
Fagner;Corinthians;6;23;BRA;RB;34;0;0;1;0;22.0;1.0;1;0.0;0.0;0.0;10.0;18.0;55,6;7.0;14/04/2024
Matheuzinho;Corinthians;6;2;BRA;RB;23;0;0;1;0;33.0;2.0;0;0.0;0.0;0.0;22.0;28.0;78,6;13.0;14/04/2024
Cássio;Corinthians;6;12;BRA;GK;36;0;0;0;0;22.0;0.0;0;0.0;0.0;0.0;14.0;21.0;66,7;6.0;14/04/2024
Gustavo Scarpa;Atlético Mineiro;3;6;BRA;AM;30;0;0;0;0;9.0;0.0;1;1.0;0.1;0.0;3.0;5.0;60;3.0;14/04/2024
Hulk;Atlético Mineiro;3;7;BRA;FW;37;0;0;1;0;34.0;1.0;0;0.0;0.0;0.1;21.0;31.0;67,7;22.0;14/04/2024
Eduardo Vargas;Atlético Mineiro;3;11;CHI;FW;34;0;0;0;0;3.0;0.0;0;0.0;0.0;0.0;3.0;3.0;100;2.0;14/04/2024
Igor Gomes;Atlético Mineiro;3;17;BRA;AM;25;0;0;0;0;23.0;0.0;0;0.0;0.1;0.0;13.0;17.0;76,5;12.0;14/04/2024
Igor Rabello;Atlético Mineiro;3;16;BRA;CB;28;0;0;0;0;25.0;0.0;0;1.0;0.0;0.0;11.0;17.0;64,7;8.0;14/04/2024
Federico Zaracho;Atlético Mineiro;3;15;ARG;CM;26;0;0;0;0;39.0;2.0;1;3.0;0.0;0.0;24.0;30.0;80;17.0;14/04/2024
Alan Franco;Atlético Mineiro;3;23;ECU;CM;25;0;0;0;0;9.0;0.0;0;0.0;0.0;0.0;7.0;8.0;87,5;6.0;14/04/2024
Otávio;Atlético Mineiro;3;5;BRA;CM;29;0;0;0;0;62.0;3.0;1;2.0;0.0;0.0;43.0;50.0;86;34.0;14/04/2024
Guilherme Arana;Atlético Mineiro;3;13;BRA;WB;27;0;0;0;0;68.0;0.0;4;0.0;0.0;0.0;45.0;55.0;81,8;42.0;14/04/2024
Renzo Saravia;Atlético Mineiro;3;26;ARG;WB;30;0;0;1;0;56.0;2.0;1;0.0;0.0;0.0;29.0;40.0;72,5;28.0;14/04/2024
Jemerson;Atlético Mineiro;3;34;BRA;CB;31;0;0;1;0;49.0;1.0;1;2.0;0.0;0.0;35.0;42.0;83,3;22.0;14/04/2024
Rodrigo Battaglia;Atlético Mineiro;3;21;ARG;CB;32;0;0;2;1;31.0;0.0;0;1.0;0.0;0.0;25.0;30.0;83,3;16.0;14/04/2024
Mauricio Lemos;Atlético Mineiro;3;4;URU;CB;28;0;0;0;0;55.0;2.0;0;2.0;0.1;0.0;32.0;44.0;72,7;17.0;14/04/2024
Éverson;Atlético Mineiro;3;22;BRA;GK;33;0;0;1;0;34.0;0.0;0;0.0;0.0;0.0;22.0;32.0;68,8;14.0;14/04/2024
Luiz Fernando;Atlético Goianiense;2;11;BRA;FW;27;1;0;0;0;21.0;1.0;0;1.0;0.1;0.0;11.0;16.0;68,8;11.0;14/04/2024
Emiliano Rodríguez;Atlético Goianiense;2;9;URU;FW;20;0;0;0;0;18.0;0.0;0;0.0;0.4;0.0;6.0;11.0;54,5;11.0;14/04/2024
Derek;Atlético Goianiense;2;19;BRA;FW;26;0;0;0;0;4.0;0.0;0;0.0;0.0;0.0;1.0;1.0;100;1.0;14/04/2024
Alejo Cruz;Atlético Goianiense;2;7;URU;LM;23;0;0;1;0;14.0;1.0;0;1.0;0.0;0.0;7.0;10.0;70;8.0;14/04/2024
Luiz Felipe;Atlético Goianiense;2;13;BRA;LM;30;0;0;0;0;10.0;0.0;0;0.0;0.0;0.0;5.0;7.0;71,4;6.0;14/04/2024
Gabriel Baralhas;Atlético Goianiense;2;5;BRA;CM;25;0;0;0;0;34.0;1.0;0;1.0;0.0;0.0;22.0;24.0;91,7;14.0;14/04/2024
Shaylon;Atlético Goianiense;2;10;BRA;RM;26;0;0;0;0;44.0;0.0;1;3.0;0.8;0.6;22.0;35.0;62,9;20.0;14/04/2024
Rhaldney;Atlético Goianiense;2;8;BRA;DM;25;0;0;1;0;23.0;1.0;0;1.0;0.0;0.0;19.0;20.0;95;15.0;14/04/2024
Yony González;Atlético Goianiense;2;21;COL;DM;29;0;0;0;0;10.0;0.0;0;1.0;0.0;0.0;2.0;4.0;50;8.0;14/04/2024
Guilherme Romão;Atlético Goianiense;2;6;BRA;LB;26;0;0;1;0;51.0;1.0;1;1.0;0.2;0.0;17.0;36.0;47,2;20.0;14/04/2024
Alix Vinicius;Atlético Goianiense;2;4;BRA;CB;24;0;0;0;1;24.0;0.0;0;0.0;0.1;0.0;15.0;20.0;75;16.0;14/04/2024
Adriano Martins;Atlético Goianiense;2;3;BRA;CB;27;0;0;1;0;20.0;2.0;1;2.0;0.0;0.0;8.0;11.0;72,7;9.0;14/04/2024
Pedrão;Atlético Goianiense;2;14;BRA;CB;31;0;0;0;0;5.0;1.0;0;0.0;0.0;0.0;0.0;1.0;0;1.0;14/04/2024
Maguinho;Atlético Goianiense;2;2;BRA;RB;31;0;1;0;1;27.0;3.0;0;1.0;0.0;0.1;14.0;19.0;73,7;8.0;14/04/2024
Ronaldo;Atlético Goianiense;2;1;BRA;GK;27;0;0;0;0;34.0;0.0;0;0.0;0.0;0.0;18.0;33.0;54,5;18.0;14/04/2024
Pedro;Flamengo;10;9;BRA;FW;26;1;0;0;0;17.0;0.0;0;0.0;0.8;0.0;9.0;13.0;69,2;9.0;14/04/2024
Everton Soares;Flamengo;10;11;BRA;LW;28;0;0;0;0;14.0;0.0;0;0.0;0.1;0.0;6.0;7.0;85,7;10.0;14/04/2024
Bruno Henrique;Flamengo;10;27;BRA;LW;33;0;0;0;0;18.0;0.0;0;0.0;0.0;0.0;15.0;16.0;93,8;13.0;14/04/2024
